pays,ville,university,nb_publications,percent_production
USA,New York,Elsevier Inc.,168662,11.57
USA,New York,Springer Nature,118819,8.15
USA,Urbana,University of Illinois Urbana-Champaign,103158,7.08
USA,Cambridge,MIT,71470,4.9
USA,Stanford,Stanford University,52312,3.59
Singapore,Singapore,Nanyang Technological University,41544,2.85
USA,Atlanta,Georgia Institute of Technology,41162,2.82
Germany,Karlsruhe,Karlsruhe University,39700,2.72
UK,London,Clarivate PLC,34225,2.35
Canada,Toronto,University of Toronto,33341,2.29
